Epoch: [0][460/1563]	 lr:0.01000	Time 0.029 (0.031)	Loss 1.4571 (1.7195)	Prec@1 21.875 (26.878)	
Epoch: [0][470/1563]	 lr:0.01000	Time 0.032 (0.031)	Loss 1.0644 (1.7103)	Prec@1 34.375 (27.004)	
Epoch: [0][480/1563]	 lr:0.01000	Time 0.032 (0.031)	Loss 1.4978 (1.7013)	Prec@1 34.375 (27.183)	
Epoch: [0][490/1563]	 lr:0.01000	Time 0.031 (0.031)	Loss 1.3797 (1.6927)	Prec@1 37.500 (27.298)	
Epoch: [0][500/1563]	 lr:0.01000	Time 0.028 (0.031)	Loss 1.5655 (1.6856)	Prec@1 25.000 (27.395)	
Epoch: [0][510/1563]	 lr:0.01000	Time 0.032 (0.031)	Loss 1.4455 (1.6798)	Prec@1 21.875 (27.489)	
Epoch: [0][520/1563]	 lr:0.01000	Time 0.025 (0.031)	Loss 1.1377 (1.6715)	Prec@1 31.250 (27.633)	
Epoch: [0][530/1563]	 lr:0.01000	Time 0.026 (0.031)	Loss 1.1334 (1.6629)	Prec@1 25.000 (27.725)	
Epoch: [0][540/1563]	 lr:0.01000	Time 0.037 (0.031)	Loss 1.1294 (1.6561)	Prec@1 34.375 (27.842)	
Epoch: [0][550/1563]	 lr:0.01000	Time 0.032 (0.031)	Loss 0.8933 (1.6490)	Prec@1 56.250 (27.972)	
Epoch: [0][560/1563]	 lr:0.01000	Time 0.028 (0.031)	Loss 1.0373 (1.6405)	Prec@1 37.500 (28.014)	
Epoch: [0][570/1563]	 lr:0.01000	Time 0.035 (0.031)	Loss 1.1809 (1.6318)	Prec@1 46.875 (28.120)	
Epoch: [0][580/1563]	 lr:0.01000	Time 0.030 (0.031)	Loss 1.3656 (1.6256)	Prec@1 31.250 (28.195)	
Epoch: [0][590/1563]	 lr:0.01000	Time 0.033 (0.031)	Loss 1.3090 (1.6193)	Prec@1 34.375 (28.389)	
Epoch: [0][600/1563]	 lr:0.01000	Time 0.028 (0.031)	Loss 1.1164 (1.6139)	Prec@1 50.000 (28.479)	
Epoch: [0][610/1563]	 lr:0.01000	Time 0.031 (0.031)	Loss 1.0404 (1.6073)	Prec@1 40.625 (28.621)	
Epoch: [0][620/1563]	 lr:0.01000	Time 0.040 (0.031)	Loss 1.3526 (1.6031)	Prec@1 31.250 (28.719)	
Epoch: [0][630/1563]	 lr:0.01000	Time 0.028 (0.031)	Loss 1.2932 (1.5972)	Prec@1 28.125 (28.848)	
Epoch: [0][640/1563]	 lr:0.01000	Time 0.035 (0.031)	Loss 1.2393 (1.5903)	Prec@1 40.625 (29.081)	
Epoch: [0][650/1563]	 lr:0.01000	Time 0.028 (0.031)	Loss 1.4116 (1.5845)	Prec@1 37.500 (29.210)	
Epoch: [0][660/1563]	 lr:0.01000	Time 0.026 (0.031)	Loss 1.3144 (1.5782)	Prec@1 25.000 (29.293)	
Epoch: [0][670/1563]	 lr:0.01000	Time 0.038 (0.031)	Loss 1.0457 (1.5727)	Prec@1 46.875 (29.415)	
Epoch: [0][680/1563]	 lr:0.01000	Time 0.036 (0.031)	Loss 1.1591 (1.5686)	Prec@1 46.875 (29.511)	
Epoch: [0][690/1563]	 lr:0.01000	Time 0.032 (0.031)	Loss 0.9536 (1.5627)	Prec@1 34.375 (29.608)	
Epoch: [0][700/1563]	 lr:0.01000	Time 0.025 (0.031)	Loss 1.1499 (1.5578)	Prec@1 40.625 (29.703)	
Epoch: [0][710/1563]	 lr:0.01000	Time 0.028 (0.031)	Loss 1.1844 (1.5535)	Prec@1 31.250 (29.751)	
Epoch: [0][720/1563]	 lr:0.01000	Time 0.033 (0.031)	Loss 1.3393 (1.5495)	Prec@1 18.750 (29.802)	
Epoch: [0][730/1563]	 lr:0.01000	Time 0.031 (0.031)	Loss 1.3913 (1.5445)	Prec@1 15.625 (29.925)	
Epoch: [0][740/1563]	 lr:0.01000	Time 0.023 (0.031)	Loss 1.0858 (1.5402)	Prec@1 46.875 (30.044)	
Epoch: [0][750/1563]	 lr:0.01000	Time 0.033 (0.031)	Loss 1.2861 (1.5349)	Prec@1 28.125 (30.139)	
Epoch: [0][760/1563]	 lr:0.01000	Time 0.029 (0.031)	Loss 1.2508 (1.5316)	Prec@1 43.750 (30.191)	
Epoch: [0][770/1563]	 lr:0.01000	Time 0.025 (0.031)	Loss 1.1756 (1.5264)	Prec@1 37.500 (30.249)	
Epoch: [0][780/1563]	 lr:0.01000	Time 0.031 (0.031)	Loss 1.0473 (1.5218)	Prec@1 46.875 (30.350)	
Epoch: [0][790/1563]	 lr:0.01000	Time 0.030 (0.031)	Loss 1.0848 (1.5168)	Prec@1 43.750 (30.448)	
Epoch: [0][800/1563]	 lr:0.01000	Time 0.021 (0.031)	Loss 1.1692 (1.5121)	Prec@1 31.250 (30.509)	
Epoch: [0][810/1563]	 lr:0.01000	Time 0.034 (0.031)	Loss 1.1793 (1.5075)	Prec@1 40.625 (30.649)	
Epoch: [0][820/1563]	 lr:0.01000	Time 0.031 (0.031)	Loss 1.1976 (1.5019)	Prec@1 40.625 (30.767)	
Epoch: [0][830/1563]	 lr:0.01000	Time 0.026 (0.031)	Loss 0.9658 (1.4958)	Prec@1 50.000 (30.953)	
Epoch: [0][840/1563]	 lr:0.01000	Time 0.033 (0.031)	Loss 1.1243 (1.4918)	Prec@1 50.000 (31.075)	
Epoch: [0][850/1563]	 lr:0.01000	Time 0.027 (0.031)	Loss 1.5083 (1.4875)	Prec@1 37.500 (31.184)	
Epoch: [0][860/1563]	 lr:0.01000	Time 0.027 (0.031)	Loss 0.8484 (1.4824)	Prec@1 53.125 (31.315)	
Epoch: [0][870/1563]	 lr:0.01000	Time 0.037 (0.031)	Loss 1.2372 (1.4788)	Prec@1 34.375 (31.376)	
Epoch: [0][880/1563]	 lr:0.01000	Time 0.026 (0.031)	Loss 1.0618 (1.4745)	Prec@1 40.625 (31.491)	
Epoch: [0][890/1563]	 lr:0.01000	Time 0.032 (0.031)	Loss 1.2590 (1.4703)	Prec@1 43.750 (31.622)	
