Epoch: [0][460/1563]	 lr:0.01000	Time 0.029 (0.027)	Loss 1.5311 (1.6221)	Prec@1 18.750 (28.288)	
Epoch: [0][470/1563]	 lr:0.01000	Time 0.024 (0.027)	Loss 1.0470 (1.6132)	Prec@1 43.750 (28.497)	
Epoch: [0][480/1563]	 lr:0.01000	Time 0.022 (0.027)	Loss 1.2601 (1.6068)	Prec@1 43.750 (28.534)	
Epoch: [0][490/1563]	 lr:0.01000	Time 0.031 (0.027)	Loss 1.2081 (1.6017)	Prec@1 43.750 (28.602)	
Epoch: [0][500/1563]	 lr:0.01000	Time 0.032 (0.027)	Loss 1.0791 (1.5941)	Prec@1 50.000 (28.780)	
Epoch: [0][510/1563]	 lr:0.01000	Time 0.030 (0.027)	Loss 1.2702 (1.5863)	Prec@1 46.875 (28.987)	
Epoch: [0][520/1563]	 lr:0.01000	Time 0.026 (0.027)	Loss 1.1679 (1.5808)	Prec@1 37.500 (29.097)	
Epoch: [0][530/1563]	 lr:0.01000	Time 0.032 (0.027)	Loss 1.5348 (1.5752)	Prec@1 28.125 (29.273)	
Epoch: [0][540/1563]	 lr:0.01000	Time 0.026 (0.027)	Loss 1.3063 (1.5688)	Prec@1 34.375 (29.448)	
Epoch: [0][550/1563]	 lr:0.01000	Time 0.031 (0.027)	Loss 1.2577 (1.5637)	Prec@1 40.625 (29.560)	
Epoch: [0][560/1563]	 lr:0.01000	Time 0.018 (0.027)	Loss 1.3108 (1.5585)	Prec@1 43.750 (29.735)	
Epoch: [0][570/1563]	 lr:0.01000	Time 0.023 (0.027)	Loss 1.4911 (1.5537)	Prec@1 18.750 (29.800)	
Epoch: [0][580/1563]	 lr:0.01000	Time 0.031 (0.027)	Loss 1.0793 (1.5478)	Prec@1 25.000 (29.895)	
Epoch: [0][590/1563]	 lr:0.01000	Time 0.028 (0.027)	Loss 1.1572 (1.5405)	Prec@1 43.750 (30.092)	
Epoch: [0][600/1563]	 lr:0.01000	Time 0.021 (0.027)	Loss 0.8876 (1.5345)	Prec@1 43.750 (30.262)	
Epoch: [0][610/1563]	 lr:0.01000	Time 0.032 (0.027)	Loss 0.9535 (1.5267)	Prec@1 40.625 (30.427)	
Epoch: [0][620/1563]	 lr:0.01000	Time 0.028 (0.027)	Loss 1.0417 (1.5228)	Prec@1 62.500 (30.535)	
Epoch: [0][630/1563]	 lr:0.01000	Time 0.032 (0.027)	Loss 0.8095 (1.5158)	Prec@1 59.375 (30.730)	
Epoch: [0][640/1563]	 lr:0.01000	Time 0.021 (0.027)	Loss 1.1440 (1.5106)	Prec@1 40.625 (30.826)	
Epoch: [0][650/1563]	 lr:0.01000	Time 0.024 (0.027)	Loss 1.1070 (1.5069)	Prec@1 25.000 (30.842)	
Epoch: [0][660/1563]	 lr:0.01000	Time 0.029 (0.027)	Loss 1.5889 (1.5047)	Prec@1 28.125 (30.877)	
Epoch: [0][670/1563]	 lr:0.01000	Time 0.026 (0.027)	Loss 1.2185 (1.4997)	Prec@1 40.625 (31.008)	
Epoch: [0][680/1563]	 lr:0.01000	Time 0.027 (0.027)	Loss 1.0868 (1.4955)	Prec@1 37.500 (31.122)	
Epoch: [0][690/1563]	 lr:0.01000	Time 0.031 (0.027)	Loss 1.2758 (1.4907)	Prec@1 25.000 (31.196)	
Epoch: [0][700/1563]	 lr:0.01000	Time 0.025 (0.027)	Loss 0.9388 (1.4853)	Prec@1 34.375 (31.295)	
Epoch: [0][710/1563]	 lr:0.01000	Time 0.033 (0.027)	Loss 1.2949 (1.4793)	Prec@1 28.125 (31.474)	
Epoch: [0][720/1563]	 lr:0.01000	Time 0.026 (0.027)	Loss 1.0241 (1.4745)	Prec@1 43.750 (31.631)	
Epoch: [0][730/1563]	 lr:0.01000	Time 0.024 (0.027)	Loss 1.0817 (1.4702)	Prec@1 34.375 (31.720)	
Epoch: [0][740/1563]	 lr:0.01000	Time 0.023 (0.027)	Loss 1.2743 (1.4668)	Prec@1 34.375 (31.794)	
Epoch: [0][750/1563]	 lr:0.01000	Time 0.028 (0.027)	Loss 0.9239 (1.4625)	Prec@1 43.750 (31.899)	
Epoch: [0][760/1563]	 lr:0.01000	Time 0.031 (0.027)	Loss 0.9218 (1.4575)	Prec@1 56.250 (32.026)	
Epoch: [0][770/1563]	 lr:0.01000	Time 0.022 (0.027)	Loss 1.0781 (1.4523)	Prec@1 50.000 (32.202)	
Epoch: [0][780/1563]	 lr:0.01000	Time 0.021 (0.027)	Loss 1.0666 (1.4481)	Prec@1 40.625 (32.298)	
Epoch: [0][790/1563]	 lr:0.01000	Time 0.023 (0.027)	Loss 1.2065 (1.4434)	Prec@1 40.625 (32.439)	
Epoch: [0][800/1563]	 lr:0.01000	Time 0.028 (0.027)	Loss 1.1849 (1.4397)	Prec@1 56.250 (32.588)	
Epoch: [0][810/1563]	 lr:0.01000	Time 0.028 (0.027)	Loss 1.2656 (1.4384)	Prec@1 40.625 (32.599)	
Epoch: [0][820/1563]	 lr:0.01000	Time 0.030 (0.027)	Loss 0.9402 (1.4348)	Prec@1 50.000 (32.681)	
Epoch: [0][830/1563]	 lr:0.01000	Time 0.028 (0.027)	Loss 1.0869 (1.4315)	Prec@1 21.875 (32.728)	
Epoch: [0][840/1563]	 lr:0.01000	Time 0.026 (0.027)	Loss 1.0581 (1.4271)	Prec@1 28.125 (32.848)	
Epoch: [0][850/1563]	 lr:0.01000	Time 0.026 (0.027)	Loss 1.0315 (1.4250)	Prec@1 40.625 (32.924)	
Epoch: [0][860/1563]	 lr:0.01000	Time 0.027 (0.027)	Loss 1.3707 (1.4221)	Prec@1 34.375 (32.974)	
Epoch: [0][870/1563]	 lr:0.01000	Time 0.025 (0.027)	Loss 1.6878 (1.4193)	Prec@1 25.000 (33.033)	
Epoch: [0][880/1563]	 lr:0.01000	Time 0.041 (0.027)	Loss 1.1572 (1.4162)	Prec@1 37.500 (33.084)	
Epoch: [0][890/1563]	 lr:0.01000	Time 0.033 (0.027)	Loss 1.0062 (1.4128)	Prec@1 43.750 (33.197)	
Epoch: [0][900/1563]	 lr:0.01000	Time 0.022 (0.027)	Loss 1.0344 (1.4095)	Prec@1 40.625 (33.251)	
Epoch: [0][910/1563]	 lr:0.01000	Time 0.024 (0.027)	Loss 1.3559 (1.4065)	Prec@1 37.500 (33.329)	
Epoch: [0][920/1563]	 lr:0.01000	Time 0.021 (0.027)	Loss 1.4399 (1.4033)	Prec@1 34.375 (33.415)	
Epoch: [0][930/1563]	 lr:0.01000	Time 0.031 (0.027)	Loss 1.3450 (1.4002)	Prec@1 37.500 (33.509)	
Epoch: [0][940/1563]	 lr:0.01000	Time 0.024 (0.027)	Loss 1.3829 (1.3971)	Prec@1 40.625 (33.615)	
Epoch: [0][950/1563]	 lr:0.01000	Time 0.029 (0.027)	Loss 1.0561 (1.3942)	Prec@1 46.875 (33.678)	
Epoch: [0][960/1563]	 lr:0.01000	Time 0.027 (0.027)	Loss 1.2659 (1.3904)	Prec@1 31.250 (33.793)	
Epoch: [0][970/1563]	 lr:0.01000	Time 0.029 (0.027)	Loss 1.1905 (1.3873)	Prec@1 50.000 (33.915)	
Epoch: [0][980/1563]	 lr:0.01000	Time 0.026 (0.027)	Loss 1.1297 (1.3849)	Prec@1 37.500 (33.993)	
Epoch: [0][990/1563]	 lr:0.01000	Time 0.031 (0.027)	Loss 1.0214 (1.3822)	Prec@1 37.500 (34.028)	
Epoch: [0][1000/1563]	 lr:0.01000	Time 0.034 (0.027)	Loss 0.7769 (1.3790)	Prec@1 56.250 (34.103)	
Epoch: [0][1010/1563]	 lr:0.01000	Time 0.032 (0.027)	Loss 1.0954 (1.3771)	Prec@1 50.000 (34.152)	
Epoch: [0][1020/1563]	 lr:0.01000	Time 0.029 (0.027)	Loss 0.9137 (1.3738)	Prec@1 53.125 (34.259)	
Epoch: [0][1030/1563]	 lr:0.01000	Time 0.024 (0.027)	Loss 0.8323 (1.3707)	Prec@1 53.125 (34.360)	
Epoch: [0][1040/1563]	 lr:0.01000	Time 0.024 (0.027)	Loss 1.1899 (1.3679)	Prec@1 37.500 (34.459)	
